City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
244,Plouzane,FR,48.3833,-4.6167,55.72,73,20,12.66,few clouds
245,Megion,RU,61.0296,76.1136,35.62,72,45,4.81,scattered clouds
246,Omboue,GA,-1.5746,9.2618,79.39,83,98,3.62,overcast clouds
247,San Patricio,US,28.017,-97.5169,85.87,53,27,22.64,scattered clouds
248,Kasongo-Lunda,CD,-6.4667,16.8167,72.75,89,85,1.92,light rain
249,Turmalina,BR,-17.2856,-42.73,84.88,33,50,1.77,scattered clouds
250,Chokurdakh,RU,70.6333,147.9167,1.8,100,93,6.35,overcast clouds
251,Atar,MR,20.5169,-13.0499,102.9,7,51,10.22,broken clouds
252,Aquiraz,BR,-3.9014,-38.3911,86.09,80,85,9.95,overcast clouds
253,Salalah,OM,17.0151,54.0924,83.62,80,3,6.55,clear sky
254,Kaka,TM,37.3482,59.6143,63.82,81,100,5.41,overcast clouds
255,Skibbereen,IE,51.55,-9.2667,58.1,78,94,6.26,overcast clouds
256,Itarema,BR,-2.9248,-39.9167,84.81,74,41,11.27,scattered clouds
257,Wajima,JP,37.4,136.9,49.01,68,48,11.14,scattered clouds
258,Setermoen,NO,68.861,18.3486,34.43,95,100,11.27,snow
259,Nyagan,RU,62.1406,65.3936,31.28,94,65,4.18,light snow
260,Mandalgovi,MN,45.7625,106.2708,57.36,14,15,12.64,few clouds
261,Gazojak,TM,41.1875,61.4036,66.88,63,61,11.65,broken clouds
262,Asfi,MA,32.2994,-9.2372,64.67,72,5,19.69,clear sky
263,Kununurra,AU,-15.7667,128.7333,69.78,83,2,0.0,clear sky
264,Tomigusuku,JP,26.185,127.675,65.97,82,75,6.91,broken clouds
265,Sembe,CG,1.6481,14.5806,73.92,94,97,3.2,light rain
266,Sarankhola,BD,22.3082,89.7897,74.52,79,60,4.79,broken clouds
267,Nome,US,64.5011,-165.4064,26.11,70,44,11.14,scattered clouds
268,Kaitangata,NZ,-46.2817,169.8464,48.81,85,79,3.89,broken clouds
269,Xihe,CN,31.6864,113.4659,61.29,58,79,1.32,broken clouds
270,Kavieng,PG,-2.5744,150.7967,82.62,77,100,6.73,light rain
271,Lebu,CL,-37.6167,-73.65,56.44,73,3,16.33,clear sky
272,Tazovskiy,RU,67.4667,78.7,4.14,100,28,2.68,scattered clouds
273,Vostok,RU,46.4856,135.8833,31.6,90,93,3.94,overcast clouds
274,Estelle,US,29.8458,-90.1067,87.01,57,94,7.0,overcast clouds
275,Richards Bay,ZA,-28.783,32.0377,65.46,89,4,3.49,clear sky
276,Ballitoville,ZA,-29.539,31.2144,68.25,82,20,2.3,few clouds
277,Crieff,GB,56.3727,-3.8389,50.74,87,100,4.45,overcast clouds
278,Kahului,US,20.8947,-156.47,73.85,90,99,10.0,overcast clouds
279,Tonantins,BR,-2.8731,-67.8022,79.7,87,98,2.68,light rain
280,Basoko,CD,1.2391,23.616,77.56,68,98,2.89,overcast clouds
281,Amurzet,RU,47.6967,131.0981,45.48,69,100,6.2,overcast clouds
282,Kwinana,AU,-32.25,115.7667,61.16,79,9,1.01,clear sky
283,Mahebourg,MU,-20.4081,57.7,77.29,83,40,3.44,scattered clouds
284,Bam,IR,29.106,58.357,83.68,17,15,12.35,few clouds
285,Coihaique,CL,-45.5752,-72.0662,50.61,86,94,9.33,overcast clouds
286,Navan,IE,53.6528,-6.6814,57.83,86,100,3.76,overcast clouds
287,Komsomolskiy,UZ,40.4272,71.7189,81.32,28,75,18.41,broken clouds
288,Moron,AR,-34.6534,-58.6198,60.94,65,79,6.13,broken clouds
289,Novoagansk,RU,61.9449,76.6625,26.46,97,80,3.91,broken clouds
290,Swan Hill,AU,-35.3378,143.5544,54.77,70,0,5.79,clear sky
291,Visby,SE,57.6409,18.296,55.06,54,0,14.97,clear sky
292,Tallahassee,US,30.4383,-84.2807,87.85,62,40,5.75,scattered clouds
293,Hovd,MN,48.0056,91.6419,60.35,21,97,8.63,overcast clouds
294,Cividale Del Friuli,IT,46.0931,13.4275,70.18,43,93,2.3,overcast clouds
295,Portland,US,45.5234,-122.6762,51.84,80,100,11.99,overcast clouds
296,Rocha,UY,-34.4833,-54.3333,60.66,55,97,7.27,overcast clouds
297,Broome,US,42.2506,-75.833,63.09,72,100,4.0,overcast clouds
298,Klaksvik,FO,62.2266,-6.589,41.92,61,99,10.45,overcast clouds
299,Requena,ES,39.4883,-1.1004,57.87,89,79,6.49,broken clouds
300,Vung Tau,VN,10.346,107.0843,82.17,78,100,12.53,light rain
301,Sarangani,PH,5.4033,125.4636,79.29,83,100,2.95,overcast clouds
302,Mexico,PH,15.0646,120.7198,82.11,72,76,1.95,broken clouds
303,Port Hedland,AU,-20.3167,118.5667,75.25,69,0,8.05,clear sky
304,Cidreira,BR,-30.1811,-50.2056,62.1,78,100,8.01,heavy intensity rain
305,Cherskiy,RU,68.75,161.3,26.89,93,100,2.89,overcast clouds
306,Oloron-Sainte-Marie,FR,43.1944,-0.6107,56.77,85,100,0.92,light rain
307,Bay Roberts,CA,47.5999,-53.2648,46.04,85,100,3.0,overcast clouds
308,Bambous Virieux,MU,-20.3428,57.7575,77.25,83,40,3.44,scattered clouds
309,Port Hardy,CA,50.6996,-127.4199,48.38,87,75,6.91,broken clouds
310,Huarmey,PE,-10.0681,-78.1522,72.3,70,84,8.68,broken clouds
