City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
387,Ziro,IN,50.99,scattered clouds,27.6333,93.8333,Ka-ngam homestay
389,Onguday,RU,51.71,overcast clouds,50.75,86.15,Barskaya Usad'ba
390,Aguimes,ES,70.66,few clouds,27.9054,-15.4461,Hotel Villa de Aguimes
392,Abbotsford,CA,51.19,overcast clouds,49.058,-122.2526,Coast Abbotsford Hotel & Suites
393,Angoche,MZ,75.43,clear sky,-16.2325,39.9086,Guest House HESADA
394,Kiunga,PG,73.8,overcast clouds,-6.1219,141.2906,Airport Lodge Kiunga
395,Belmonte,BR,82.15,scattered clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
396,Peace River,CA,38.82,overcast clouds,56.2501,-117.286,BCMInns - Peace River
397,Emerald,AU,63.34,broken clouds,-23.5333,148.1667,The Irish Village
398,Amahai,ID,78.85,broken clouds,-3.3333,128.9167,HOTEL ISABELA
399,Fare,PF,80.4,broken clouds,-16.7,-151.0167,Maitai Lapita Village Huahine
400,Kabinda,CD,69.58,broken clouds,-6.1333,24.4833,Village Mianda Mutole
401,Andenes,NO,33.78,broken clouds,69.3143,16.1194,Hotell Marena
402,Otradnoye,RU,53.65,overcast clouds,59.7775,30.8181,Baza otdikha Petrushinsky Khutor
403,Meulaboh,ID,76.12,light rain,4.1363,96.1285,Kost Pria
404,Marawi,PH,70.02,overcast clouds,7.9986,124.2928,Derogongan Residence
405,Curuca,BR,82.4,overcast clouds,-0.7289,-47.8481,Hotel Curuça
407,Ribas Do Rio Pardo,BR,87.17,scattered clouds,-20.4431,-53.7592,Pousada Avenida
408,Lasa,IT,56.35,overcast clouds,46.6166,10.7002,Pension Feldgärtenhof
409,Tibacuy,CO,87.1,scattered clouds,4.3511,-72.4564,hospedaje las palmas
410,Inverell,AU,51.67,clear sky,-29.7833,151.1167,Sapphire City Motor Inn
411,Tromso,NO,32.38,broken clouds,69.6496,18.957,"Radisson Blu Hotel, Tromsø"
412,Fukue,JP,60.84,scattered clouds,32.6881,128.8419,Goto Guesthouse Utojuku & SA Car Rental
413,Norwich,GB,60.03,overcast clouds,52.6278,1.2983,Holiday Inn Norwich City
414,Shanghai,CN,67.93,clear sky,31.2222,121.4581,Swissotel Grand Shanghai
415,Coahuayana,MX,89.96,broken clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
416,San Julian,MX,79.21,broken clouds,21.0167,-102.1667,La Nueva España
417,Ahipara,NZ,57.29,overcast clouds,-35.1667,173.1667,Ahipara Holiday Park
418,Morki,RU,43.41,overcast clouds,56.4303,48.9947,Posutochno Kvartira
419,Bykovo,RU,55.76,clear sky,55.6361,38.0803,Around the world
420,Vestmannaeyjar,IS,42.82,light rain,63.4427,-20.2734,Glamping & Camping
422,Kudat,MY,79.86,broken clouds,6.8837,116.8477,Dream Garden Hotel
423,Ambulu,ID,76.96,broken clouds,-8.345,113.6058,Hotel Ambulu Jember
424,Naze,JP,63.79,overcast clouds,28.3667,129.4833,Shishime Hotel
425,Gimli,CA,33.96,overcast clouds,50.6336,-96.9907,Lakeview Gimli Resort
427,Lerwick,GB,44.6,broken clouds,60.1545,-1.1494,The Lerwick Hotel
428,Tecoanapa,MX,87.24,overcast clouds,16.5167,-98.75,Hotel Manglares
429,Cullinan,ZA,63.82,clear sky,-25.6709,28.5236,Cheval Tachete
430,Berani,PK,86.07,clear sky,25.785,68.8069,Rana pervez cement dipo berani
432,Claveria,PH,78.12,overcast clouds,18.6074,121.0832,Casa Grand Inn By The Sea
433,Lompoc,US,54.01,mist,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
434,Rantepao,ID,66.78,overcast clouds,-2.9701,119.8978,Hotel Luta Resort
435,Norrtalje,SE,57.38,overcast clouds,59.758,18.705,Norrtälje Vandrarhem Hvilan
437,Norman Wells,CA,50.04,few clouds,65.282,-126.8329,Heritage Hotel
438,Jiwani,PK,85.44,clear sky,25.05,61.7417,Al Mumtaz Transport Jiwani
440,Aksaray,TR,57.61,overcast clouds,38.3726,34.0254,Kuzucular Park Hotel
441,Pinawa,CA,35.82,overcast clouds,50.1489,-95.8811,Pinawa Motel
442,Anaconda,US,48.33,overcast clouds,46.1285,-112.9423,Trade Wind Motel
443,Half Moon Bay,US,61.48,mist,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
444,Cabra,ES,56.12,few clouds,37.4725,-4.4421,MS Fuente Las Piedras
445,Paramirim,BR,87.85,scattered clouds,-13.4425,-42.2389,Pousada Rio Pequeno
446,Dwarka,IN,83.48,clear sky,22.2394,68.9678,Hotel Narayan Avezika Comfort
447,Surab,PK,73.53,few clouds,28.4914,66.2585,Bismillah Hotel
448,Antalaha,MG,74.98,clear sky,-14.9003,50.2788,Hotel Vitasoa
449,Kawalu,ID,74.07,overcast clouds,-7.3817,108.2082,West Jontor
450,Rabo De Peixe,PT,65.71,broken clouds,37.8,-25.5833,Quinta das Giestas
451,Robertsport,LR,84.34,light rain,6.7533,-11.3686,Kwepunha Retreat
452,Porto Murtinho,BR,81.23,broken clouds,-21.6989,-57.8825,Hotel Pantanal
453,Sorland,NO,36.0,overcast clouds,67.667,12.6934,Sjybrygga fiskecamp
456,Mehamn,NO,30.11,light snow,71.0357,27.8492,Mehamn Arctic Hotel AS
458,Grindavik,IS,45.07,overcast clouds,63.8424,-22.4338,Northern Light Inn & Max's Restaurant
459,Puyang,CN,58.06,broken clouds,29.4603,119.8861,Xianhua Sandalwood Celebrity Hotel
